epoch,iteration,loss
1,1,5.6627716e-05
1,2,0.69234395
1,3,0.6923324
1,4,0.69232064
1,5,0.6921665
1,6,0.6920684
1,7,0.69190973
1,8,0.69172347
1,9,0.69152105
1,10,0.69134325
1,11,0.6910103
1,12,0.6906761
1,13,0.6901884
1,14,0.68957263
1,15,0.68910444
1,16,0.68824327
1,17,0.6871563
1,18,0.6861945
1,19,0.6847868
1,20,0.683096
1,21,0.6818266
1,22,0.67883855
1,23,0.67602503
1,24,0.67306876
1,25,0.6685904
1,26,0.66386175
1,27,0.6595879
1,28,0.6537815
1,29,0.6448329
1,30,0.6350469
1,31,0.6262019
1,32,0.61560935
1,33,0.59860486
1,34,0.5867046
1,35,0.57189316
1,36,0.5490814
1,37,0.5298701
1,38,0.51542294
1,39,0.49083585
1,40,0.46768168
1,41,0.4438466
1,42,0.42972606
1,43,0.40184957
1,44,0.3691298
1,45,0.3484411
1,46,0.33788723
1,47,0.31054837
1,48,0.28154114
1,49,0.25514084
1,50,0.24223684
1,51,0.21293098
1,52,0.20328017
1,53,0.18900405
1,54,0.17148928
1,55,0.16264948
1,56,0.13806263
1,57,0.1384402
1,58,0.11448956
1,59,0.11025155
1,60,0.10850545
1,61,0.08656189
1,62,0.08093893
1,63,0.08192573
1,64,0.070967436
1,65,0.07037392
1,66,0.061372243
1,67,0.061159894
1,68,0.052626193
1,69,0.049041882
1,70,0.044684518
1,71,0.043577544
1,72,0.043340355
1,73,0.051072054
1,74,0.04219474
1,75,0.04876938
1,76,0.035945743
1,77,0.03459636
1,78,0.033250585
1,79,0.03205635
1,80,0.033111356
1,81,0.031678535
1,82,0.03191048
1,83,0.032429047
1,84,0.030506426
1,85,0.029992187
1,86,0.030528294
1,87,0.029790208
1,88,0.02834376
1,89,0.031136908
1,90,0.026862476
1,91,0.028851964
1,92,0.026211286
1,93,0.0253633
1,94,0.025390431
1,95,0.029296145
1,96,0.025785517
1,97,0.02660879
1,98,0.02459058
1,99,0.026498316
1,100,0.028819218
1,101,0.023901243
1,102,0.024214622
1,103,0.030467078
1,104,0.023170358
1,105,0.028444462
1,106,0.024688791
1,107,0.025117964
1,108,0.022738907
1,109,0.022629645
1,110,0.023280848
1,111,0.029757306
1,112,0.038195953
1,113,0.022106543
1,114,0.021367196
1,115,0.025429208
1,116,0.023085488
1,117,0.02208974
1,118,0.024789765
1,119,0.028299965
1,120,0.023267347
1,121,0.023406956
1,122,0.025851566
1,123,0.022404036
1,124,0.037534427
1,125,0.020734143
1,126,0.03036483
1,127,0.020779284
1,128,0.02157794
1,129,0.022176106
1,130,0.023353845
1,131,0.022202205
1,132,0.023303308
1,133,0.019343387
1,134,0.019065779
1,135,0.019215941
1,136,0.01897614
1,137,0.020577958
1,138,0.019304523
1,139,0.019679205
1,140,0.020291653
1,141,0.019680442
1,142,0.021791358
1,143,0.021828383
1,144,0.026445013
1,145,0.018324748
1,146,0.018473713
1,147,0.018871453
1,148,0.025051413
1,149,0.01973905
1,150,0.024571788
1,151,0.020923976
1,152,0.01892351
1,153,0.018121384
1,154,0.017575864
1,155,0.018934682
1,156,0.020739341
1,157,0.018510656
1,158,0.01803159
1,159,0.022103276
1,160,0.017865395
1,161,0.018233515
1,162,0.018718848
1,163,0.017322645
1,164,0.017304922
1,165,0.01742085
1,166,0.017316062
1,167,0.019006826
1,168,0.017242875
1,169,0.022296077
1,170,0.024708334
1,171,0.016770054
1,172,0.018287644
1,173,0.016846485
1,174,0.017308258
1,175,0.030986499
1,176,0.017084647
1,177,0.02089941
1,178,0.021405676
1,179,0.018013997
1,180,0.016718276
1,181,0.016002785
1,182,0.019055692
1,183,0.01795462
1,184,0.015948378
1,185,0.016161973
1,186,0.016938206
1,187,0.019156026
1,188,0.016210113
1,189,0.016629413
1,190,0.015669383
1,191,0.015587565
1,192,0.039215565
1,193,0.016044352
1,194,0.015758902
1,195,0.015499411
1,196,0.015389933
1,197,0.017136727
1,198,0.016416658
1,199,0.01582564
1,200,0.01756712
1,201,0.015129721
1,202,0.01598582
1,203,0.01662951
1,204,0.015889648
1,205,0.015086042
1,206,0.015247941
1,207,0.016797034
1,208,0.01863651
1,209,0.015437798
1,210,0.014838053
1,211,0.016105218
1,212,0.022962544
1,213,0.014401903
1,214,0.014411006
1,215,0.0147388615
1,216,0.015234452
1,217,0.015162365
1,218,0.033908408
1,219,0.014638584
1,220,0.021079084
2,1,0.015309386
2,2,0.014052875
2,3,0.018382747
2,4,0.014115369
2,5,0.0150455
2,6,0.01544639
2,7,0.016415354
2,8,0.015664704
2,9,0.01413698
2,10,0.013959774
2,11,0.016891422
2,12,0.016245432
2,13,0.014091564
2,14,0.014596074
2,15,0.015014119
2,16,0.020047905
2,17,0.015162142
2,18,0.014068784
2,19,0.015868997
2,20,0.016104376
2,21,0.01706279
2,22,0.0152887115
2,23,0.024696434
2,24,0.014515428
2,25,0.015412536
2,26,0.015091419
2,27,0.014631806
2,28,0.013721697
2,29,0.014062109
2,30,0.014544146
2,31,0.014107511
2,32,0.014163579
2,33,0.013648614
2,34,0.013917493
2,35,0.013698956
2,36,0.013609596
2,37,0.014391528
2,38,0.01511106
2,39,0.014435927
2,40,0.015030316
2,41,0.013625424
2,42,0.0146025475
2,43,0.014062099
2,44,0.013475371
2,45,0.013555288
2,46,0.015958402
2,47,0.0143450955
2,48,0.014114496
2,49,0.013911338
2,50,0.013692755
2,51,0.01468299
2,52,0.013384759
2,53,0.01479505
2,54,0.017267557
2,55,0.013488432
2,56,0.018411264
2,57,0.015408555
2,58,0.014532888
2,59,0.014221895
2,60,0.013031829
2,61,0.013339396
2,62,0.013079844
2,63,0.016059278
2,64,0.012976909
2,65,0.013452528
2,66,0.01314782
2,67,0.014887372
2,68,0.014768811
2,69,0.013426498
2,70,0.014606692
2,71,0.013122361
2,72,0.015627198
2,73,0.023768015
2,74,0.0140161095
2,75,0.013607316
2,76,0.012431441
2,77,0.013769829
2,78,0.012392185
2,79,0.012971305
2,80,0.012724882
2,81,0.017000182
2,82,0.014193381
2,83,0.013073992
2,84,0.02537002
2,85,0.0124049485
2,86,0.012557222
2,87,0.012369167
2,88,0.016452856
2,89,0.014406698
2,90,0.012136571
2,91,0.013248896
2,92,0.0123977065
2,93,0.012193962
2,94,0.013038419
2,95,0.012226443
2,96,0.012030728
2,97,0.016799849
2,98,0.01265246
2,99,0.012522636
