epoch,iteration,loss
1,1,44.246468
1,2,42.429623
1,3,50.565617
1,4,46.207344
1,5,45.805668
1,6,42.484573
1,7,38.806927
1,8,42.659134
1,9,50.64137
1,10,43.433548
1,11,37.965023
1,12,42.729137
1,13,42.02645
1,14,43.10695
1,15,45.49258
1,16,42.78582
1,17,36.895123
1,18,41.123978
1,19,45.485603
1,20,40.303818
1,21,44.01847
1,22,42.82485
1,23,44.423786
1,24,39.04393
1,25,41.73908
1,26,44.39164
1,27,43.093258
1,28,43.699142
1,29,39.758377
1,30,39.28635
1,31,46.208225
1,32,42.61193
1,33,37.640846
1,34,44.949036
1,35,47.267998
1,36,32.938583
1,37,37.28389
1,38,41.297
1,39,43.438866
1,40,39.10864
1,41,40.644375
1,42,40.8958
1,43,40.03837
1,44,39.10901
1,45,37.9156
1,46,52.64501
1,47,44.614483
1,48,39.91763
1,49,39.393055
1,50,39.303513
1,51,36.4074
1,52,43.84131
1,53,43.508144
1,54,39.059525
1,55,46.412224
1,56,39.066753
1,57,40.783512
1,58,36.236465
1,59,44.716602
1,60,43.6071
1,61,41.24384
1,62,37.428406
1,63,37.530487
1,64,44.06395
1,65,44.704956
1,66,38.264194
1,67,37.78903
1,68,36.677837
1,69,34.037426
1,70,30.774452
1,71,45.709736
1,72,46.403
1,73,43.975777
1,74,36.626293
1,75,45.074604
1,76,37.83354
1,77,33.094597
1,78,35.679394
1,79,41.35643
1,80,43.052216
1,81,41.639774
1,82,35.996178
1,83,34.91567
1,84,38.911644
1,85,38.92027
1,86,37.774563
1,87,40.848064
1,88,36.318645
1,89,40.45712
1,90,35.54892
1,91,41.970325
1,92,39.687805
1,93,35.842747
1,94,40.44379
1,95,33.650455
1,96,39.062695
1,97,38.204727
1,98,35.63199
1,99,37.918854
1,100,39.014725
1,101,37.77179
1,102,41.19918
1,103,39.96313
1,104,34.433113
1,105,44.80054
1,106,36.601063
1,107,36.474186
1,108,35.086334
1,109,41.225285
1,110,39.43448
1,111,42.713085
1,112,42.09039
1,113,36.380787
1,114,37.94787
1,115,44.72177
1,116,38.91555
1,117,35.751884
1,118,39.17123
1,119,41.53084
1,120,44.312798
1,121,39.422764
1,122,41.647198
1,123,36.453846
1,124,35.665707
1,125,40.38851
1,126,49.868137
1,127,42.693947
1,128,33.31696
1,129,38.59846
1,130,40.78355
1,131,40.09144
1,132,42.94668
1,133,35.416447
1,134,37.903404
1,135,34.067215
1,136,37.67352
1,137,39.648724
1,138,36.832745
1,139,40.127434
1,140,38.775265
1,141,38.300835
1,142,44.171608
1,143,36.75116
1,144,44.44084
1,145,32.51029
1,146,45.21852
1,147,38.06104
1,148,38.71658
1,149,42.5862
1,150,47.255394
1,151,32.983597
1,152,35.308426
1,153,38.922665
1,154,36.280853
1,155,33.278175
1,156,39.272964
1,157,34.95887
1,158,34.362324
1,159,47.03644
1,160,38.995476
1,161,34.868256
1,162,35.749767
1,163,43.926697
1,164,37.446552
1,165,36.57497
1,166,37.130013
1,167,38.757782
1,168,37.05134
1,169,37.61298
1,170,39.68266
1,171,33.961872
1,172,38.632305
1,173,37.990913
1,174,33.446438
1,175,38.528763
1,176,38.771954
1,177,39.273228
1,178,35.068882
1,179,41.683243
1,180,39.13287
1,181,34.1936
1,182,37.454243
1,183,37.019474
1,184,36.036285
1,185,37.952908
1,186,38.262394
1,187,38.959927
1,188,39.092995
1,189,35.80085
1,190,37.252068
1,191,34.26798
1,192,37.41156
1,193,39.502163
1,194,38.525394
1,195,33.902077
1,196,39.44862
1,197,45.017323
1,198,37.912247
1,199,32.57883
1,200,38.608727
1,201,31.310719
1,202,37.475445
1,203,38.052162
1,204,35.964775
1,205,37.157173
1,206,37.55522
1,207,36.210876
1,208,37.45457
1,209,43.182983
1,210,36.38311
1,211,35.902206
1,212,39.766743
1,213,32.978237
1,214,31.15471
1,215,37.65524
1,216,37.877552
1,217,32.48416
1,218,34.222363
1,219,38.763004
1,220,45.624485
2,1,26.89521
2,2,22.065437
2,3,27.46456
2,4,25.554056
2,5,25.656607
2,6,22.839542
2,7,24.878807
2,8,24.089602
2,9,21.684711
2,10,23.744038
2,11,27.135672
2,12,25.360785
2,13,20.526102
2,14,27.170305
2,15,26.346634
2,16,27.736542
2,17,27.736181
2,18,26.370539
2,19,23.167439
2,20,26.178978
2,21,29.710146
2,22,29.230831
2,23,28.369549
2,24,28.58102
2,25,24.786972
2,26,24.729134
2,27,24.368435
2,28,27.05943
2,29,25.193485
2,30,24.613245
2,31,27.66545
2,32,24.972778
2,33,26.881979
2,34,29.34843
2,35,26.130957
2,36,25.354359
2,37,25.967741
2,38,27.463322
2,39,24.466751
2,40,26.738373
2,41,23.401955
2,42,25.04084
2,43,27.654057
2,44,25.397554
2,45,26.238855
2,46,29.964504
2,47,25.71272
2,48,26.628466
2,49,24.09401
2,50,25.513206
2,51,25.04771
2,52,25.385736
2,53,26.004055
2,54,26.296864
2,55,22.830004
2,56,23.40378
2,57,29.713802
2,58,25.759878
2,59,23.745945
2,60,25.472605
2,61,26.398619
2,62,23.285975
2,63,27.829298
2,64,26.113758
2,65,25.984451
2,66,26.426714
2,67,24.68638
2,68,26.55853
2,69,27.331358
2,70,24.044338
2,71,25.205944
2,72,26.873589
2,73,27.564743
2,74,20.956503
2,75,26.709526
2,76,25.52675
2,77,25.573378
2,78,27.223394
2,79,26.396574
2,80,27.246649
2,81,24.843483
