epoch,loss
1,8676.34004020691
2,5877.914962768555
3,4403.987018585205
4,3474.6724557876587
5,2865.738024711609
6,2460.406994819641
7,2164.2001757621765
8,1980.5514664649963
9,1838.2216382026672
10,1724.916217327118
11,1650.5830750465393
12,1590.3656330108643
13,1529.1966714859009
14,1486.3235077857971
15,1436.7760763168335
16,1388.780719280243
17,1376.7493238449097
18,1342.328305721283
19,1330.9429469108582
20,1312.0797238349915
