epoch,iteration,loss
1,1,0.035301704
1,2,0.89688754
1,3,0.8967991
1,4,0.8966569
1,5,0.8964467
1,6,0.896176
1,7,0.8959631
1,8,0.89562845
1,9,0.8953261
1,10,0.894994
1,11,0.8946375
1,12,0.89428127
1,13,0.8938787
1,14,0.89347947
1,15,0.8930435
1,16,0.89262676
1,17,0.8922059
1,18,0.89174837
1,19,0.89132404
1,20,0.8908563
1,21,0.89044416
1,22,0.8899659
1,23,0.8895128
1,24,0.88905764
1,25,0.8885877
1,26,0.8881563
1,27,0.8876818
1,28,0.88722724
1,29,0.88674664
1,30,0.8863585
1,31,0.8858783
1,32,0.88542265
1,33,0.885033
1,34,0.8845791
1,35,0.88411134
1,36,0.8837101
1,37,0.88327813
1,38,0.88289493
1,39,0.8824883
1,40,0.8821239
1,41,0.88175493
1,42,0.8814375
1,43,0.8811051
1,44,0.8807766
1,45,0.8804586
1,46,0.8802031
1,47,0.87990654
1,48,0.8796624
1,49,0.8794184
1,50,0.87917614
1,51,0.8789548
1,52,0.8787575
1,53,0.8785703
1,54,0.8783808
1,55,0.87824506
1,56,0.87801933
1,57,0.8778775
1,58,0.877736
1,59,0.8775692
1,60,0.87741035
1,61,0.8773228
1,62,0.8771533
1,63,0.8770069
1,64,0.8768929
1,65,0.8767862
1,66,0.8766696
1,67,0.8765487
1,68,0.87642217
1,69,0.87631536
1,70,0.87621963
1,71,0.8760943
1,72,0.8759934
1,73,0.8759026
1,74,0.8757949
1,75,0.8757177
1,76,0.87563336
1,77,0.8755116
1,78,0.87544286
1,79,0.8753966
1,80,0.87532514
1,81,0.87525403
1,82,0.8751801
1,83,0.8750794
1,84,0.87504494
1,85,0.8749336
1,86,0.874876
1,87,0.8747713
1,88,0.8747354
1,89,0.8746515
1,90,0.8745708
1,91,0.8745041
1,92,0.8744484
1,93,0.87435335
1,94,0.8743443
1,95,0.87429017
1,96,0.87421066
1,97,0.87409234
1,98,0.8740972
1,99,0.8740199
1,100,0.8739835
1,101,0.8739477
1,102,0.87383026
1,103,0.8738129
1,104,0.87376034
1,105,0.8736917
1,106,0.873693
1,107,0.8736131
1,108,0.87357795
1,109,0.8734961
1,110,0.873435
2,1,0.8734149
2,2,0.87338114
2,3,0.87330514
2,4,0.8733205
2,5,0.8731904
2,6,0.87316006
2,7,0.8731565
2,8,0.8730623
2,9,0.8731085
2,10,0.8730479
2,11,0.8729684
2,12,0.8729603
2,13,0.872889
2,14,0.87285626
2,15,0.8728015
2,16,0.87275934
2,17,0.87271655
2,18,0.8727
2,19,0.8726794
2,20,0.87267804
2,21,0.8725982
