epoch,iteration,loss
1,1,56.852543
1,2,60.029373
1,3,49.918922
1,4,56.824425
1,5,50.059376
1,6,53.633984
1,7,58.733353
1,8,50.40174
1,9,53.33841
1,10,58.78416
1,11,51.67588
1,12,57.726147
1,13,55.04261
1,14,57.145336
1,15,49.78347
1,16,47.118828
1,17,54.829174
1,18,57.78769
1,19,56.609467
1,20,50.435345
1,21,55.693195
1,22,51.26579
1,23,47.008537
1,24,49.33618
1,25,48.450386
1,26,52.459984
1,27,48.69689
1,28,53.80157
1,29,50.487392
1,30,59.137592
1,31,51.505615
1,32,49.88732
1,33,52.250553
1,34,48.256847
1,35,49.87677
1,36,51.491047
1,37,44.202885
1,38,47.613384
1,39,46.843258
1,40,50.192272
1,41,52.896645
1,42,52.004704
1,43,47.420517
1,44,48.515816
1,45,45.653156
1,46,48.339382
1,47,45.835587
1,48,46.88312
1,49,53.184498
1,50,50.301342
1,51,45.39367
1,52,48.55967
1,53,50.350555
1,54,49.06534
1,55,57.36941
1,56,40.135612
1,57,49.203533
1,58,49.272377
1,59,48.54762
1,60,45.219917
1,61,47.601223
1,62,42.838974
1,63,49.1697
1,64,45.533894
1,65,48.395103
1,66,48.691048
1,67,46.85282
1,68,48.399715
1,69,44.888176
1,70,47.766766
1,71,43.905727
1,72,44.44045
1,73,47.018955
1,74,43.98281
1,75,45.341354
1,76,48.228695
1,77,47.85145
1,78,47.16872
1,79,51.758755
1,80,47.16704
1,81,44.626175
1,82,50.31228
1,83,50.190277
1,84,51.972675
1,85,44.98505
1,86,42.088306
1,87,43.550583
1,88,50.54601
1,89,46.0418
1,90,47.277145
1,91,44.247997
1,92,45.400986
1,93,40.685825
1,94,50.775543
1,95,45.152832
1,96,43.003452
1,97,41.15269
1,98,46.96275
1,99,46.534542
1,100,42.27003
1,101,49.29468
1,102,41.920147
1,103,44.53126
1,104,48.39983
1,105,43.412693
1,106,50.926617
1,107,50.492554
1,108,48.917637
1,109,45.80449
1,110,41.420746
2,1,42.634815
2,2,44.465717
2,3,40.233974
2,4,41.564804
2,5,38.715378
2,6,40.139233
2,7,43.919632
2,8,38.510517
2,9,48.40548
2,10,41.767498
2,11,39.78119
2,12,41.825954
2,13,43.446507
2,14,39.937874
2,15,42.87019
2,16,39.50993
2,17,37.214428
2,18,37.8637
2,19,43.06036
2,20,42.16171
2,21,40.052628
2,22,37.54822
2,23,42.685925
2,24,41.286686
2,25,39.638294
2,26,37.3853
2,27,40.551487
2,28,38.06985
2,29,41.89402
2,30,43.513832
2,31,36.075294
2,32,39.440807
2,33,34.260746
2,34,40.165596
2,35,41.121037
2,36,44.14208
2,37,42.5735
2,38,41.55543
2,39,40.301975
2,40,40.608303
2,41,38.76986
2,42,42.70767
2,43,42.11957
2,44,37.07704
2,45,38.452675
2,46,41.341118
2,47,39.59597
2,48,39.62464
2,49,39.470478
2,50,41.27344
2,51,43.09775
2,52,44.448017
2,53,37.15487
2,54,45.970375
2,55,38.525772
2,56,39.006535
2,57,39.433914
2,58,43.992455
2,59,44.344555
2,60,43.800537
2,61,40.97595
2,62,43.11321
2,63,41.7128
2,64,35.27807
2,65,38.439766
2,66,43.855503
2,67,37.566452
2,68,39.703392
2,69,39.23798
2,70,41.731796
2,71,43.499805
2,72,41.531303
2,73,36.307495
2,74,45.551395
2,75,37.78084
2,76,42.91079
2,77,41.746777
2,78,38.271267
2,79,40.675613
2,80,40.25879
2,81,39.951057
2,82,41.004364
2,83,38.360954
2,84,36.562122
2,85,42.55783
2,86,41.97515
2,87,38.90116
2,88,41.334686
2,89,44.467106
2,90,48.366703
2,91,42.10644
2,92,41.95855
2,93,38.38443
2,94,40.866478
2,95,44.512665
2,96,42.520397
2,97,40.585854
