epoch,accuracy
1,0.5051136363636364
2,0.5113636363636364
3,0.5041193181818182
4,0.5001420454545454
5,0.4943181818181818
6,0.5068181818181818
7,0.5001420454545454
8,0.4943181818181818
9,0.49914772727272727
10,0.5024147727272728
11,0.5072443181818181
12,0.4909090909090909
13,0.4984375
14,0.49900568181818183
15,0.5035511363636364
16,0.5086647727272727
17,0.5009943181818182
18,0.5041193181818182
19,0.4950284090909091
20,0.5044034090909091
21,0.4960227272727273
22,0.4973011363636364
23,0.5024147727272728
24,0.5021306818181818
25,0.5068181818181818
26,0.5022727272727273
27,0.5019886363636363
28,0.4950284090909091
29,0.5051136363636364
30,0.49758522727272725
31,0.5056818181818182
32,0.4934659090909091
33,0.49247159090909093
34,0.4984375
35,0.5004261363636363
36,0.49389204545454546
37,0.49446022727272726
38,0.4967329545454545
39,0.5075284090909091
40,0.4960227272727273
41,0.5004261363636363
42,0.501278409090909
43,0.49644886363636365
44,0.503125
45,0.49588068181818185
46,0.5026988636363636
47,0.4950284090909091
48,0.4987215909090909
49,0.5046875
50,0.5083806818181819
51,0.49772727272727274
52,0.4978693181818182
53,0.4978693181818182
54,0.4948863636363636
55,0.5005681818181819
56,0.49914772727272727
57,0.4980113636363636
58,0.4954545454545455
59,0.4987215909090909
60,0.5078125
61,0.5058238636363637
62,0.5041193181818182
63,0.49900568181818183
64,0.506534090909091
65,0.4974431818181818
66,0.4992897727272727
67,0.5019886363636363
68,0.49701704545454545
69,0.5017045454545455
70,0.5025568181818182
71,0.5035511363636364
72,0.50625
73,0.5032670454545455
74,0.5069602272727273
75,0.5042613636363636
76,0.49900568181818183
77,0.5080965909090909
78,0.5041193181818182
79,0.49957386363636364
80,0.5095170454545455
81,0.5001420454545454
82,0.5028409090909091
83,0.5053977272727272
84,0.4973011363636364
85,0.4940340909090909
86,0.49644886363636365
87,0.49701704545454545
88,0.49829545454545454
89,0.5058238636363637
90,0.49261363636363636
91,0.4992897727272727
92,0.4971590909090909
93,0.5005681818181819
94,0.503125
95,0.5026988636363636
96,0.5015625
97,0.5014204545454546
98,0.5029829545454545
99,0.4953125
100,0.5018465909090909
