epoch,loss
1,5389.239162445068
2,4486.899024963379
3,4019.255172729492
4,3647.22469329834
5,3325.223876953125
6,3034.9732189178467
7,2787.6767978668213
8,2559.6002464294434
9,2357.3515911102295
10,2170.8682384490967
11,2012.6674518585205
12,1874.2703199386597
13,1743.9805965423584
14,1622.4683647155762
15,1524.796124458313
16,1447.0739908218384
17,1356.0713386535645
18,1290.6769819259644
19,1228.3802452087402
20,1164.3452653884888
21,1111.016884803772
22,1073.188814163208
23,1026.5628638267517
24,988.5500502586365
25,957.7679028511047
26,924.4795742034912
27,908.8726024627686
28,871.1297149658203
29,841.7795429229736
30,831.530514717102
31,813.4143223762512
32,800.0339241027832
33,773.511480808258
34,769.6370511054993
35,758.0340256690979
36,738.739200592041
37,715.4715027809143
38,708.6015315055847
39,696.6961894035339
40,694.6893186569214
41,685.6271014213562
42,668.1186752319336
43,668.5039300918579
44,664.2541589736938
45,665.1122870445251
46,643.9839901924133
47,636.475537776947
48,633.6310691833496
49,630.9302263259888
50,621.9266777038574
51,609.6220455169678
52,614.408456325531
53,607.6345820426941
54,604.5665974617004
55,601.1520767211914
56,606.3576769828796
57,589.3617653846741
58,591.3732213973999
59,583.9874749183655
60,577.8648490905762
61,581.0519280433655
62,565.2939777374268
63,573.3942379951477
64,564.4901146888733
65,562.6435837745667
66,560.8060164451599
67,552.23455286026
68,556.4199447631836
69,558.3878736495972
70,550.9043250083923
71,554.5992593765259
72,548.0738272666931
73,550.5978002548218
74,546.9686985015869
75,542.0606899261475
76,539.8740358352661
77,540.6675434112549
78,534.8726530075073
79,535.1024098396301
80,528.8297181129456
81,525.8530578613281
82,536.4551124572754
83,528.2394003868103
84,524.9144988059998
85,523.1570301055908
86,517.8640241622925
87,517.9907784461975
88,511.8339500427246
89,517.3510432243347
90,513.1514682769775
91,511.2685341835022
92,501.89319944381714
93,501.00431632995605
94,509.6066884994507
95,504.2986330986023
96,502.9048523902893
97,498.4530563354492
98,501.28694248199463
99,501.8373007774353
100,502.74345541000366
