epoch,iteration,accuracy
1,1,6.0695868
1,2,7.597061
1,3,2.7565389
1,4,2.7559774
1,5,2.7553601
1,6,2.754696
1,7,2.757551
1,8,4.3400636
1,9,3.6233795
1,10,3.0799131
1,11,2.7511253
1,12,2.750386
1,13,2.7496305
1,14,2.748859
1,15,2.7480724
1,16,2.7472703
1,17,2.746455
1,18,2.7456257
1,19,2.7447832
1,20,2.7439282
1,21,2.7430606
1,22,2.7421806
1,23,2.7412894
1,24,2.7403865
1,25,2.7394722
1,26,2.738547
1,27,2.7376115
1,28,2.7366657
1,29,2.73571
1,30,2.734744
1,31,2.7337682
1,32,2.732783
1,33,2.7317889
1,34,2.782684
1,35,2.7297733
1,36,2.7287538
1,37,2.7513068
1,38,2.7266927
1,39,2.7256515
1,40,2.724603
1,41,2.7235477
1,42,2.7224853
1,43,2.7214162
1,44,2.7203403
1,45,2.7192574
1,46,2.718168
1,47,2.7170713
1,48,2.7159688
1,49,2.7148595
1,50,2.7137437
1,51,2.7126212
1,52,2.7114928
1,53,2.710358
1,54,2.7092168
1,55,2.7080698
1,56,2.7069166
1,57,2.7057576
1,58,2.704593
1,59,2.703422
1,60,2.7022455
1,61,2.701063
1,62,2.6998749
1,63,2.6986818
1,64,2.6974826
1,65,2.6962783
1,66,2.6950684
1,67,2.6938534
1,68,2.6926334
1,69,2.6914077
1,70,2.6901772
1,71,2.6889417
1,72,2.687701
1,73,2.6864555
1,74,2.6852052
1,75,2.68395
1,76,2.6826901
1,77,2.6814253
1,78,2.680156
1,79,2.678882
1,80,2.6776035
1,81,2.6763206
1,82,2.6750333
1,83,2.673741
1,84,2.672445
1,85,2.6711447
1,86,2.6698399
1,87,2.668531
1,88,2.6672182
1,89,2.665901
1,90,2.6645799
1,91,2.6632543
1,92,2.661925
1,93,2.660592
1,94,2.659255
1,95,2.657914
1,96,2.6565695
1,97,2.6552212
1,98,2.6538687
1,99,2.652513
1,100,2.6511536
1,101,2.64979
1,102,2.6484232
1,103,2.647053
1,104,2.6456792
1,105,2.6443021
1,106,2.6429212
1,107,2.6415372
1,108,2.6401496
1,109,2.638759
1,110,2.6373644
1,111,2.635967
1,112,2.6345665
1,113,2.633163
1,114,2.6317556
1,115,2.630346
1,116,2.6289327
1,117,2.6275163
1,118,2.6260965
1,119,2.624674
1,120,2.6232488
1,121,2.6218202
1,122,2.6203892
1,123,2.618955
1,124,2.6175177
1,125,2.616078
1,126,2.614635
1,127,2.6131895
1,128,2.611741
1,129,2.61029
1,130,2.608836
1,131,2.6073794
1,132,2.6059203
1,133,2.6044583
1,134,2.602994
1,135,2.601527
1,136,2.6000574
1,137,2.598585
1,138,2.59711
1,139,2.595633
1,140,2.5941532
1,141,2.592671
1,142,2.591186
1,143,2.5896993
1,144,2.5882099
1,145,2.586718
1,146,2.585224
1,147,2.5837271
1,148,2.5822284
1,149,2.580727
1,150,2.5792236
1,151,2.5777183
1,152,2.5762105
1,153,2.5747
1,154,2.573188
1,155,2.5716739
1,156,2.5701573
1,157,2.568638
1,158,2.5671175
1,159,2.5655944
1,160,2.5640695
1,161,2.5625422
1,162,2.5610132
1,163,2.559482
1,164,2.557949
1,165,2.556414
1,166,2.5548768
1,167,2.5533376
1,168,2.5517967
1,169,2.5502536
1,170,2.548709
1,171,2.5471623
1,172,2.545614
1,173,2.5440633
1,174,2.542511
1,175,2.540957
1,176,2.5394013
1,177,2.5378435
1,178,2.5362842
1,179,2.534723
1,180,2.53316
1,181,2.5315955
1,182,2.530029
1,183,2.5284612
1,184,2.5268915
1,185,2.52532
1,186,2.523747
1,187,2.5221722
1,188,2.5205963
1,189,2.519018
1,190,2.5174387
1,191,2.5158575
1,192,2.5142748
1,193,2.5126908
1,194,2.5111046
1,195,2.5095174
1,196,2.5079288
1,197,2.5063384
1,198,2.504747
1,199,2.5031536
1,200,2.501559
1,201,2.4999626
1,202,2.4983652
1,203,2.496766
1,204,2.4951658
1,205,2.4935641
1,206,2.4919605
1,207,2.4903562
1,208,2.4887505
1,209,2.4871433
1,210,2.4855344
1,211,2.4839246
